Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
midn	-0.710711735223343	0.235941335178251	330	0	0	542.5	179025	400
mprip	2.36810361647937	0.319701509235569	177	0	0	542.5	96022.5	286
msi2	0.616943958274909	0.381428867457053	122	0.00259351111056543	0.00259351111056543	248	30256	147
mtcl1	1.09252191559174	0.140513728042456	700	0	0	542.5	379750	711
mtss1	1.96078838374714	0.213278051353676	399	0	0	542.5	216457.5	445
myo1d	-1.49738774396107	0.21147850095425	406	0	0	542.5	220255	450
myt1l	1.62269648580843	0.275277591620598	247	-0.0181445648143	0.0181445648143	214	52858	201
nbea	1.15475572431653	0.143220948910861	689	0	0	542.5	373782.5	700
ncan	2.33920999549146	0.325494778799199	170	-0.134209264910583	0.134209264910583	69	11730	97
ncf1	1.07016091493699	0.645182715153475	49	-0.062940859250059	0.062940859250059	140	6860	76
ndrg4	0.0608521065715638	0.174552129603763	568	0	0	542.5	308140	592
nectin1	3.00433870256576	0.194224191397688	476	0	0	542.5	258230	506
negr1	2.91675072206645	0.228994956019236	346	0.0813001706377149	0.0813001706377149	114	39444	162
nell1	1.11834153331417	0.2724139141535	252	0	0	542.5	136710	344
nell2	0.815410830834738	0.18651520670834	518	0	0	542.5	281015	544
neo1	1.28007683414909	0.198842028149665	449	0	0	542.5	243582.5	486
neto1	2.61103067608931	0.156332603978004	645	0	0	542.5	349912.5	661
neurod1	1.15772157534483	0.194251486179296	474	0	0	542.5	257145	505
nfib	0.249626601123569	0.284088976698198	231	0	0	542.5	125317.5	333
nfix	0.277409589399039	0.165173146188879	602	0.0877494560356573	0.0877494560356573	105	63210	225
nhsl1	1.61377012693304	0.455065044197359	84	0.0757090270840513	0.0757090270840513	117	9828	93
nhsl2	1.30951670170126	0.160973161922331	625	0.0270518189848711	0.0270518189848711	200	125000	332
nkain2	1.80945560271577	0.191295589894902	490	0	0	542.5	265825	519
nlgn1	-0.326240975607121	0.201368648424856	437	0.0486949748241329	0.0486949748241329	156	68172	239
nlgn2	0.192129661116288	0.262037837609614	270	0	0	542.5	146475	355
nlgn3	0.598910734787494	0.210449978673228	411	0	0	542.5	222967.5	454
npas3	0.906628613508303	0.175619672515766	563	0	0	542.5	305427.5	587
npr1	0.464224786955721	0.190212684730015	498	0	0	542.5	270165	525
nr3c2	-0.769494811342048	0.23893389715209	322	0	0	542.5	174685	392
nrp1	0.419656385614399	0.211829571650168	405	0	0	542.5	219712.5	449
nrxn1	-0.256972447944822	0.174387188372645	569	0	0	542.5	308682.5	593
ntrk2	-0.78796075096549	0.216376838080579	391	-0.0822615947687112	0.0822615947687112	110	43010	171
ntrk3	0.289611282916484	0.192704063433634	486	0	0	542.5	263655	515
nwd2	-0.233709928600929	0.219598390900092	379	0	0	542.5	205607.5	435
nyap2	2.12947650091162	0.403758474348815	111	-0.238707095961573	0.238707095961573	29	3219	50
papd5	1.14603398596704	0.350965123971697	144	0	0	542.5	78120	254
pbx1	1.30822099746619	0.165522958907158	601	0	0	542.5	326042.5	621
pbx3	2.0454878209701	0.17572657837468	562	0	0	542.5	304885	586
pbxip1	0.755045607247848	0.383099932388294	120	0.264303360841948	0.264303360841948	24	2880	47
pcbp1	1.11506962966946	0.152067914391643	667	0	0	542.5	361847.5	680
pcdh15	6.06560114062384	0.944512784158731	26	0.30350949399297	0.30350949399297	16	416	17
pcdh17	0.870475647062092	0.347176236454211	150	0.0703105522904018	0.0703105522904018	127	19050	126
pcdh19	2.42672975997738	0.147387190805546	680	0	0	542.5	368900	692
pcdh7	0.0742165982987854	0.164809960491407	603	0	0	542.5	327127.5	622
pcdh9	-0.0349565660753921	0.356693102473052	141	-0.0711507605505417	0.0711507605505417	125	17625	120
pde2a	0.351889022765622	0.213536238603548	398	0	0	542.5	215915	444
pde4a	0.485455318723836	0.111690681358376	784	-0.0301649637053125	0.0301649637053125	188	147392	356
phactr3	1.45077185807672	0.137806584034087	711	-0.0452091214453302	0.0452091214453302	163	115893	319
pitpnm3	-0.223078740995582	0.142868302613279	690	0	0	542.5	374325	701
pknox2	0.66785261583736	0.18453450647378	525	0	0	542.5	284812.5	551
pkp4	0.0691690825097	0.13133861837273	732	0	0	542.5	397110	740
plcb1	-0.282283592051004	0.303570275309927	204	0	0	542.5	110670	310
plcb4	0.852970089724506	0.130396423442144	733	0	0	542.5	397652.5	741
plekha7	-0.23785931027489	0.421645772315123	96	0	0	542.5	52080	199
plpp3	0.793192047363673	0.129010240825435	741	0	0	542.5	401992.5	749
plppr1	1.52975348789532	0.125328824723547	757	0	0	542.5	410672.5	764
plxna1	-0.686830618369199	0.179151253163257	545	0	0	542.5	295662.5	570
